variant,timestamp,aesthetic_impl,translator_mode,heritage_id,variant_index,intensity_level,level_name,controlnet_weight,palette_mode,layout,layout_label,layout_scale,layout_selected_by,layout_score,layout_ranking,polish_strength,seed,similarity_pattern_vs_ceramic,aesthetic_score,source_palette,n_edge_px,control_mode,positive_prompt,negative_prompt,steps,guidance,sd_model_id,controlnet_id,torch_version,diffusers_version,gpu,duration_s,pattern_path,design_path,sha256_design
MB_2C_XP_31_V3,2026-09-06T08:22:07+00:00,clip_proxy_NOT_laion,not_used,MB_2C_XP_31,3,3,Cân bằng,0.45,free,shoulder,Vai và ngực,0.85,clip_auto,0.0862,shoulder_hem:0.0882;shoulder:0.0862;center_medallion:0.0845;front_panel:0.082;side_stripe:0.0775;hem_band:0.0765;full_body:0.0647,0.4,42,0.6367,8.14,#2d2927;#d6d7d5;#70808c;#e1cb53;#8a6e2f,23838,ornament_only,"a flat decorative pattern inspired by Bat Trang ship and waves, featuring Blue sailing ship on rolling ocean waves with yellow floral background., modern simplified interpretation, hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,5.62,outputs/variants/MB_2C_XP_31_V3_pattern.png,outputs/variants/MB_2C_XP_31_V3_aodai.png,c55a70c357ba05dc
MB_2C_XP_31_V4,2026-09-06T08:22:16+00:00,clip_proxy_NOT_laion,not_used,MB_2C_XP_31,4,4,Tự do sáng tạo,0.25,free,front_panel,Dải thân trước,0.95,clip_auto,0.0869,shoulder_hem:0.0881;front_panel:0.0869;center_medallion:0.0843;side_stripe:0.0817;hem_band:0.078;shoulder:0.078;full_body:0.0718,0.4,42,0.6333,8.17,#2d2927;#d6d7d5;#70808c;#e1cb53;#8a6e2f,23838,ornament_only,"a flat decorative pattern inspired by Bat Trang ship and waves, featuring Blue sailing ship on rolling ocean waves with yellow floral background., bold contemporary reinterpretation, hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,5.64,outputs/variants/MB_2C_XP_31_V4_pattern.png,outputs/variants/MB_2C_XP_31_V4_aodai.png,577efaf615ba38d3
HSBT_XP-300x300_V1,2026-09-06T08:22:55+00:00,clip_proxy_NOT_laion,not_used,HSBT_XP-300x300,1,1,Nguyên bản,0.85,original,shoulder,Vai và ngực,0.85,clip_auto,0.084,shoulder:0.084;center_medallion:0.0832;side_stripe:0.0784;shoulder_hem:0.0769;front_panel:0.0762;hem_band:0.0754;full_body:0.0516,0.4,42,0.738,8.08,#d3e0e3;#afb8b1;#434f49;#788480;#19211c,15525,ornament_only,"a flat decorative pattern inspired by Bat Trang monochrome lotus motif, featuring Black ink wash lotus blossoms, leaves, and thorny stems on white background., hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,6.52,outputs/variants/HSBT_XP-300x300_V1_pattern.png,outputs/variants/HSBT_XP-300x300_V1_aodai.png,2b3d4f19aee84ffa
HSBT_XP-300x300_V2,2026-09-06T08:23:04+00:00,clip_proxy_NOT_laion,not_used,HSBT_XP-300x300,2,2,Gần nguyên bản,0.65,free,front_panel,Dải thân trước,0.95,clip_auto,0.0887,front_panel:0.0887;center_medallion:0.0887;side_stripe:0.088;hem_band:0.0873;shoulder_hem:0.0842;shoulder:0.0841;full_body:0.062,0.4,42,0.7633,8.28,#d3e0e3;#afb8b1;#434f49;#788480;#19211c,15525,ornament_only,"a flat decorative pattern inspired by Bat Trang monochrome lotus motif, featuring Black ink wash lotus blossoms, leaves, and thorny stems on white background., hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,5.6,outputs/variants/HSBT_XP-300x300_V2_pattern.png,outputs/variants/HSBT_XP-300x300_V2_aodai.png,4d4658bf7abcc8f3
HSBT_XP-300x300_V3,2026-09-06T08:23:13+00:00,clip_proxy_NOT_laion,not_used,HSBT_XP-300x300,3,3,Cân bằng,0.45,free,center_medallion,Ô giữa ngực,1.1,clip_auto,0.0909,front_panel:0.0972;center_medallion:0.0909;shoulder_hem:0.0867;shoulder:0.0863;hem_band:0.0856;full_body:0.0831;side_stripe:0.082,0.4,42,0.6524,7.84,#d3e0e3;#afb8b1;#434f49;#788480;#19211c,15525,ornament_only,"a flat decorative pattern inspired by Bat Trang monochrome lotus motif, featuring Black ink wash lotus blossoms, leaves, and thorny stems on white background., modern simplified interpretation, hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,5.6,outputs/variants/HSBT_XP-300x300_V3_pattern.png,outputs/variants/HSBT_XP-300x300_V3_aodai.png,2524de309a6edf6e
HSBT_XP-300x300_V4,2026-09-06T08:23:22+00:00,clip_proxy_NOT_laion,not_used,HSBT_XP-300x300,4,4,Tự do sáng tạo,0.25,free,shoulder_hem,Vai kết hợp gấu tà,0.78,clip_auto,0.0836,center_medallion:0.0886;front_panel:0.088;shoulder:0.0876;shoulder_hem:0.0836;side_stripe:0.0777;hem_band:0.0722;full_body:0.0689,0.4,42,0.6988,8.17,#d3e0e3;#afb8b1;#434f49;#788480;#19211c,15525,ornament_only,"a flat decorative pattern inspired by Bat Trang monochrome lotus motif, featuring Black ink wash lotus blossoms, leaves, and thorny stems on white background., bold contemporary reinterpretation, hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,5.62,outputs/variants/HSBT_XP-300x300_V4_pattern.png,outputs/variants/HSBT_XP-300x300_V4_aodai.png,fef445f099af47b2
BT010_2_V1,2026-09-06T08:24:03+00:00,clip_proxy_NOT_laion,not_used,BT010_2,1,1,Nguyên bản,0.85,original,front_panel,Dải thân trước,0.95,clip_auto,0.0975,front_panel:0.0975;shoulder:0.0957;shoulder_hem:0.0932;side_stripe:0.0905;center_medallion:0.0897;full_body:0.0892;hem_band:0.0845,0.4,42,0.7268,8.19,#dee0e4;#646d90;#8c94ad;#bcbfca;#414768,14915,ornament_only,"a flat decorative pattern inspired by Bat Trang blue chrysanthemum scroll, featuring Cobalt blue chrysanthemum blossoms and scrolling leafy vines on white background., hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,6.53,outputs/variants/BT010_2_V1_pattern.png,outputs/variants/BT010_2_V1_aodai.png,562988c93c5ff30f
BT010_2_V2,2026-09-06T08:24:12+00:00,clip_proxy_NOT_laion,not_used,BT010_2,2,2,Gần nguyên bản,0.65,free,center_medallion,Ô giữa ngực,1.1,clip_auto,0.0937,center_medallion:0.0937;shoulder_hem:0.0895;front_panel:0.086;shoulder:0.0851;side_stripe:0.0824;hem_band:0.0768;full_body:0.072,0.4,42,0.7558,8.08,#dee0e4;#646d90;#8c94ad;#bcbfca;#414768,14915,ornament_only,"a flat decorative pattern inspired by Bat Trang blue chrysanthemum scroll, featuring Cobalt blue chrysanthemum blossoms and scrolling leafy vines on white background., hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,5.62,outputs/variants/BT010_2_V2_pattern.png,outputs/variants/BT010_2_V2_aodai.png,573734b1196f0024
BT010_2_V3,2026-09-06T08:24:21+00:00,clip_proxy_NOT_laion,not_used,BT010_2,3,3,Cân bằng,0.45,free,shoulder_hem,Vai kết hợp gấu tà,0.78,clip_auto,0.0926,center_medallion:0.0936;shoulder_hem:0.0926;front_panel:0.0903;shoulder:0.0861;side_stripe:0.0829;hem_band:0.0766;full_body:0.0745,0.4,42,0.735,8.06,#dee0e4;#646d90;#8c94ad;#bcbfca;#414768,14915,ornament_only,"a flat decorative pattern inspired by Bat Trang blue chrysanthemum scroll, featuring Cobalt blue chrysanthemum blossoms and scrolling leafy vines on white background., modern simplified interpretation, hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,5.62,outputs/variants/BT010_2_V3_pattern.png,outputs/variants/BT010_2_V3_aodai.png,a89850459dec58de
BT010_2_V4,2026-09-06T08:24:30+00:00,clip_proxy_NOT_laion,not_used,BT010_2,4,4,Tự do sáng tạo,0.25,free,side_stripe,Dải dọc lệch phải,1.0,clip_auto,0.0799,center_medallion:0.0861;front_panel:0.0848;shoulder_hem:0.0827;side_stripe:0.0799;shoulder:0.0798;hem_band:0.0734;full_body:0.0689,0.4,42,0.7301,8.17,#dee0e4;#646d90;#8c94ad;#bcbfca;#414768,14915,ornament_only,"a flat decorative pattern inspired by Bat Trang blue chrysanthemum scroll, featuring Cobalt blue chrysanthemum blossoms and scrolling leafy vines on white background., bold contemporary reinterpretation, hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,5.62,outputs/variants/BT010_2_V4_pattern.png,outputs/variants/BT010_2_V4_aodai.png,2dcf357e5f0084f2
binh-hoa-su-trang-ap-noi-hoa-sen-dat-vang-24k-bat-trang-cao-cap-anh-dai-dien_V1,2026-09-06T08:25:10+00:00,clip_proxy_NOT_laion,not_used,binh-hoa-su-trang-ap-noi-hoa-sen-dat-vang-24k-bat-trang-cao-cap-anh-dai-dien,1,1,Nguyên bản,0.85,original,front_panel,Dải thân trước,0.95,clip_auto,0.0947,front_panel:0.0947;shoulder_hem:0.0942;full_body:0.0924;shoulder:0.0924;side_stripe:0.088;hem_band:0.0855;center_medallion:0.084,0.4,42,0.7887,8.14,#dad2c8;#c6c0b6;#e1e3e3;#bbac96;#908168,14479,ornament_only,"a flat decorative pattern inspired by Bat Trang gilded lotus, featuring Gilded embossed lotus blossoms and leaves on a white background., hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,6.51,outputs/variants/binh-hoa-su-trang-ap-noi-hoa-sen-dat-vang-24k-bat-trang-cao-cap-anh-dai-dien_V1_pattern.png,outputs/variants/binh-hoa-su-trang-ap-noi-hoa-sen-dat-vang-24k-bat-trang-cao-cap-anh-dai-dien_V1_aodai.png,1d32cd12c7ecd8e0
